26.0584 	DATA 	Keypress: left
26.0726 	EXP 	fixation: autoDraw = False
26.0726 	EXP 	grating: autoDraw = False
26.0726 	EXP 	grating: ori = 4.0
26.0726 	EXP 	fixation: autoDraw = True
26.5720 	INFO 	Keyboard events cleared
26.5715 	EXP 	grating: autoDraw = True
26.5875 	EXP 	fixation: autoDraw = False
26.8705 	EXP 	grating: autoDraw = False
27.0085 	DATA 	Keypress: right
27.0214 	EXP 	fixation: autoDraw = False
27.0214 	EXP 	grating: autoDraw = False
27.0214 	EXP 	grating: ori = 4.0
27.0214 	EXP 	fixation: autoDraw = True
27.5207 	INFO 	Keyboard events cleared
27.5202 	EXP 	grating: autoDraw = True
27.5371 	EXP 	fixation: autoDraw = False
27.8198 	EXP 	grating: autoDraw = False
27.8727 	DATA 	Keypress: right
27.8870 	EXP 	fixation: autoDraw = False
27.8870 	EXP 	grating: autoDraw = False
27.8870 	EXP 	grating: ori = 3.5
27.8870 	EXP 	fixation: autoDraw = True
28.3865 	INFO 	Keyboard events cleared
28.3860 	EXP 	grating: autoDraw = True
28.4029 	EXP 	fixation: autoDraw = False
28.6545 	DATA 	Keypress: right
28.6691 	EXP 	fixation: autoDraw = False
28.6691 	EXP 	grating: autoDraw = False
28.6691 	EXP 	grating: ori = 3.5
28.6691 	EXP 	fixation: autoDraw = True
29.1531 	INFO 	Keyboard events cleared
29.1524 	EXP 	grating: autoDraw = True
29.1688 	EXP 	fixation: autoDraw = False
29.4210 	DATA 	Keypress: right
29.4358 	EXP 	fixation: autoDraw = False
29.4358 	EXP 	grating: autoDraw = False
29.4358 	EXP 	grating: ori = -3.5
29.4358 	EXP 	fixation: autoDraw = True
29.9352 	INFO 	Keyboard events cleared
29.9349 	EXP 	fixation: autoDraw = False
29.9349 	EXP 	grating: autoDraw = True
30.2351 	EXP 	grating: autoDraw = False
30.2375 	DATA 	Keypress: right
30.2511 	EXP 	fixation: autoDraw = False
30.2511 	EXP 	grating: autoDraw = False
30.2511 	EXP 	grating: ori = -4.0
30.2511 	EXP 	fixation: autoDraw = True
30.7513 	INFO 	Keyboard events cleared
30.7508 	EXP 	fixation: autoDraw = False
30.7508 	EXP 	grating: autoDraw = True
30.9863 	DATA 	Keypress: right
31.0011 	EXP 	fixation: autoDraw = False
31.0011 	EXP 	grating: autoDraw = False
31.0011 	EXP 	grating: ori = -4.5
31.0011 	EXP 	fixation: autoDraw = True
31.5010 	INFO 	Keyboard events cleared
31.5005 	EXP 	grating: autoDraw = True
31.5175 	EXP 	fixation: autoDraw = False
31.8003 	EXP 	grating: autoDraw = False
33.8678 	DATA 	Keypress: left
33.8816 	EXP 	fixation: autoDraw = False
33.8816 	EXP 	grating: autoDraw = False
33.8816 	EXP 	grating: ori = 4.5
33.8816 	EXP 	fixation: autoDraw = True
34.3821 	INFO 	Keyboard events cleared
34.3816 	EXP 	fixation: autoDraw = False
34.3816 	EXP 	grating: autoDraw = True
34.6803 	EXP 	grating: autoDraw = False
36.4487 	DATA 	Keypress: left
36.4624 	EXP 	fixation: autoDraw = False
36.4624 	EXP 	grating: autoDraw = False
36.4624 	EXP 	grating: ori = 5.0
36.4624 	EXP 	fixation: autoDraw = True
36.9621 	INFO 	Keyboard events cleared
36.9616 	EXP 	fixation: autoDraw = False
36.9616 	EXP 	grating: autoDraw = True
37.2617 	EXP 	grating: autoDraw = False
37.7645 	DATA 	Keypress: right
37.7781 	EXP 	fixation: autoDraw = False
37.7781 	EXP 	grating: autoDraw = False
37.7781 	EXP 	grating: ori = -5.0
37.7781 	EXP 	fixation: autoDraw = True
38.2786 	INFO 	Keyboard events cleared
38.2779 	EXP 	fixation: autoDraw = False
38.2779 	EXP 	grating: autoDraw = True
38.5780 	EXP 	grating: autoDraw = False
39.2627 	DATA 	Keypress: left
39.2769 	EXP 	fixation: autoDraw = False
39.2769 	EXP 	grating: autoDraw = False
39.2769 	EXP 	grating: ori = -5.0
39.2769 	EXP 	fixation: autoDraw = True
39.7772 	INFO 	Keyboard events cleared
39.7766 	EXP 	fixation: autoDraw = False
39.7766 	EXP 	grating: autoDraw = True
40.0761 	EXP 	grating: autoDraw = False
40.4618 	DATA 	Keypress: left
40.4758 	EXP 	fixation: autoDraw = False
40.4758 	EXP 	grating: autoDraw = False
40.4758 	EXP 	grating: ori = -4.5
40.4758 	EXP 	fixation: autoDraw = True
40.9768 	INFO 	Keyboard events cleared
40.9764 	EXP 	fixation: autoDraw = False
40.9764 	EXP 	grating: autoDraw = True
41.2922 	EXP 	grating: autoDraw = False
41.3775 	DATA 	Keypress: left
41.3924 	EXP 	fixation: autoDraw = False
41.3924 	EXP 	grating: autoDraw = False
41.3924 	EXP 	grating: ori = 4.5
41.3924 	EXP 	fixation: autoDraw = True
41.8922 	INFO 	Keyboard events cleared
41.8916 	EXP 	fixation: autoDraw = False
41.8916 	EXP 	grating: autoDraw = True
42.1918 	EXP 	grating: autoDraw = False
42.3265 	DATA 	Keypress: right
42.3408 	EXP 	fixation: autoDraw = False
42.3408 	EXP 	grating: autoDraw = False
42.3408 	EXP 	grating: ori = 4.5
42.3408 	EXP 	fixation: autoDraw = True
42.8246 	INFO 	Keyboard events cleared
42.8240 	EXP 	grating: autoDraw = True
42.8408 	EXP 	fixation: autoDraw = False
43.1239 	EXP 	grating: autoDraw = False
43.1444 	DATA 	Keypress: right
43.1589 	EXP 	fixation: autoDraw = False
43.1589 	EXP 	grating: autoDraw = False
43.1589 	EXP 	grating: ori = 4.0
43.1589 	EXP 	fixation: autoDraw = True
43.6577 	INFO 	Keyboard events cleared
43.6572 	EXP 	grating: autoDraw = True
43.6731 	EXP 	fixation: autoDraw = False
43.9561 	EXP 	grating: autoDraw = False
43.9921 	DATA 	Keypress: right
44.0071 	EXP 	fixation: autoDraw = False
44.0071 	EXP 	grating: autoDraw = False
44.0071 	EXP 	grating: ori = 4.0
44.0071 	EXP 	fixation: autoDraw = True
44.5071 	INFO 	Keyboard events cleared
44.5064 	EXP 	fixation: autoDraw = False
44.5064 	EXP 	grating: autoDraw = True
44.8055 	EXP 	grating: autoDraw = False
44.8413 	DATA 	Keypress: right
44.8559 	EXP 	fixation: autoDraw = False
